"","tmax","metodo","rep","GAP","time"
"1","50","s","1","0.124905105103414","6.30928901831309"
"2","50","s","2","0.124905105103414","6.35289151668549"
"3","50","s","3","0.107712018656655","6.39657735029856"
"4","50","s","4","0.107712018656655","6.44031318426132"
"5","50","s","5","0.0953363140642103","6.48276561896006"
"6","50","s","6","0.0953363140642103","6.52668478488922"
"7","50","s","7","0.0953363140642103","6.56972058614095"
"8","50","s","8","0.0953363140642103","6.61485650142034"
"9","50","s","9","0.0707022716264651","6.6602424343427"
"10","50","s","10","0.0707022716264651","6.70767848491669"
"11","50","s","11","0.0707022716264651","6.75204768578211"
"12","50","s","12","0.0701412559747179","6.79668356577555"
"13","50","s","13","0.0673855005808012","6.84398626883825"
"14","50","s","14","0.0673855005808012","6.89038893381755"
"15","50","s","15","0.0673855005808012","6.93265801668167"
"16","50","s","16","0.0582366146680127","6.9751437664032"
"17","50","s","17","0.0582366146680127","7.01834625005722"
"18","50","s","18","0.0582366146680127","7.06161538362503"
"19","50","s","19","0.0582366146680127","7.10891808271408"
"20","50","s","20","0.0582366146680127","7.15515406926473"
"21","50","s","21","0.0582366146680127","7.20105669895808"
"22","50","s","22","0.0582366146680127","7.24442584911982"
"23","50","s","23","0.0582366146680127","7.29006178379059"
"24","50","s","24","0.0582366146680127","7.33334760268529"
"25","50","s","25","0.0582366146680127","7.37991693417231"
"26","50","s","26","0.0582366146680127","7.42541953325272"
"27","50","s","27","0.0523374728387478","7.47102213303248"
"28","50","s","28","0.0523374728387478","7.51590803464254"
"29","50","s","29","0.0523374728387478","7.55944386720657"
"30","50","s","30","0.0498341882300884","7.60099623600642"
"31","100","s","1","0.0496793760818885","7.64494875272115"
"32","100","s","2","0.0496793760818885","7.68915128310521"
"33","100","s","3","0.0493854727160913","7.7343205332756"
"34","100","s","4","0.0493854727160913","7.77780634959539"
"35","100","s","5","0.0493854727160913","7.82317561705907"
"36","100","s","6","0.0481768179684062","7.86672809918722"
"37","100","s","7","0.0481768179684062","7.90793046951294"
"38","100","s","8","0.0481768179684062","7.9506662329038"
"39","100","s","9","0.0481768179684062","7.99376869996389"
"40","100","s","10","0.0325664030740065","8.03942131598791"
"41","100","s","11","0.0325664030740065","8.08359049956004"
"42","100","s","12","0.0325664030740065","8.12954313357671"
"43","100","s","13","0.0325664030740065","8.18132943312327"
"44","100","s","14","0.0325664030740065","8.22874881823858"
"45","100","s","15","0.0325664030740065","8.27220129966736"
"46","100","s","16","0.0325664030740065","8.32010403474172"
"47","100","s","17","0.0249951823899694","8.36527328491211"
"48","100","s","18","0.0249951823899694","8.40832575162252"
"49","100","s","19","0.0249951823899694","8.45209491650263"
"50","100","s","20","0.0249951823899694","8.49956430196762"
"51","100","s","21","0.0249951823899694","8.54875045220057"
"52","100","s","22","0.0249951823899694","8.59650318225225"
"53","100","s","23","0.0249951823899694","8.64370588461558"
"54","100","s","24","0.0249951823899694","8.68889180024465"
